Tabela F 195.0 m/s  Mergulhante
Alcance	Elv	D FS	D Alc	Garfo	Tempo	Derv	Vento	|	Vo	Vo	Vento	Vento	Tmp	Tmp	Dens	Dens	Qd	Qd	
		 10m	por mil		Voo		lateral	|	Dec	Inc	frente	cauda	Dec	Inc	Dec	Inc	Dec	Inc	
100	13.5	0.00	8	1	0.5	0.2	0.01	|	1.0	-1.1	0.0	-0.0	-0.0	0.0	-0.0	0.0	-1	1
200	26.5	0.00	7	2	1.0	0.5	0.01	|	2.0	-2.1	0.0	0.1	-0.0	0.0	-0.0	0.0	-1	3
300	40.0	1.32	7	2	1.6	0.7	0.02	|	2.9	-3.2	0.0	-0.0	-0.0	0.0	-0.0	0.0	-4	4
400	53.4	0.99	7	2	2.1	1.0	0.02	|	3.9	-4.2	0.0	-0.0	-0.0	0.0	-0.0	0.0	-5	4
500	67.1	0.79	7	3	2.6	1.2	0.03	|	4.9	-5.3	0.1	-0.0	-0.0	0.0	-0.1	0.1	-6	5
600	80.8	0.65	7	3	3.1	1.5	0.04	|	5.8	-6.3	0.1	-0.1	-0.0	0.0	-0.1	0.1	-7	7
700	94.7	0.56	7	4	3.7	1.7	0.04	|	6.8	-7.3	0.1	-0.1	-0.0	0.0	-0.2	0.1	-8	8
800	108.8	0.49	7	4	4.2	2.0	0.05	|	7.7	-8.3	0.2	-0.1	-0.0	0.0	-0.2	0.2	-9	9
900	123.0	0.43	7	5	4.7	2.2	0.06	|	8.7	-9.3	0.2	-0.2	-0.0	0.0	-0.2	0.2	-10	10
1000	137.4	0.39	7	5	5.3	2.5	0.06	|	9.6	-10.3	0.3	-0.2	-0.0	0.0	-0.3	0.3	-11	11
1100	152.1	0.35	7	6	5.8	2.8	0.07	|	10.5	-11.3	0.3	-0.3	-0.0	0.0	-0.4	0.3	-13	12
1200	167.0	0.32	7	6	6.4	3.0	0.08	|	11.5	-12.3	0.4	-0.3	-0.0	0.0	-0.4	0.4	-13	13
1300	182.1	0.29	7	7	7.0	3.3	0.08	|	12.4	-13.3	0.4	-0.4	-0.0	0.0	-0.5	0.5	-15	14
1400	197.3	0.27	6	8	7.6	3.6	0.09	|	13.3	-14.2	0.5	-0.4	-0.0	0.0	-0.6	0.6	-15	15
1500	213.2	0.25	6	8	8.1	3.9	0.10	|	14.2	-15.2	0.6	-0.5	-0.0	0.0	-0.7	0.7	-16	16
1600	228.9	0.24	6	9	8.7	4.2	0.10	|	15.1	-16.1	0.7	-0.6	-0.0	0.0	-0.8	0.8	-17	17
1700	245.4	0.22	6	10	9.3	4.5	0.11	|	16.0	-17.1	0.8	-0.7	-0.0	0.0	-0.9	0.9	-18	18
1800	262.2	0.21	6	11	10.0	4.9	0.12	|	16.9	-18.0	0.9	-0.8	-0.0	0.0	-1.0	1.0	-19	19
1900	279.3	0.19	6	12	10.6	5.2	0.13	|	17.8	-19.0	1.0	-0.8	-0.0	0.0	-1.1	1.1	-20	19
2000	297.0	0.18	6	13	11.2	5.5	0.13	|	18.7	-19.9	1.1	-0.9	-0.0	0.0	-1.2	1.2	-21	20
2100	315.2	0.17	5	14	11.9	5.9	0.14	|	19.6	-20.8	1.2	-1.1	-0.0	0.0	-1.3	1.3	-22	21
2200	333.9	0.16	5	15	12.5	6.3	0.15	|	20.5	-21.7	1.4	-1.2	-0.0	0.0	-1.5	1.4	-23	22
2300	353.4	0.16	5	16	13.2	6.7	0.16	|	21.4	-22.6	1.5	-1.3	-0.0	0.0	-1.6	1.6	-23	23
2400	373.7	0.15	5	17	13.9	7.1	0.17	|	22.2	-23.5	1.7	-1.4	-0.0	0.0	-1.7	1.7	-24	24
2500	394.9	0.14	5	19	14.7	7.6	0.18	|	23.1	-24.4	1.8	-1.6	-0.0	0.0	-1.9	1.9	-25	24
2600	417.1	0.13	4	20	15.5	8.1	0.19	|	24.0	-25.3	2.0	-1.7	-0.0	0.0	-2.0	2.0	-26	25
2700	440.7	0.13	4	23	16.3	8.6	0.19	|	24.8	-26.2	2.2	-1.9	-0.0	0.0	-2.2	2.2	-27	26
2800	465.8	0.12	4	25	17.1	9.2	0.21	|	25.7	-27.1	2.3	-2.0	-0.0	0.0	-2.4	2.3	-27	26
2900	492.9	0.12	3	28	18.0	9.9	0.22	|	26.5	-27.9	2.5	-2.2	-0.0	0.0	-2.6	2.5	-28	27
3000	522.7	0.11	3	32	19.0	10.6	0.23	|	27.3	-28.8	2.8	-2.4	-0.0	0.0	-2.8	2.7	-29	28
3100	556.1	0.10	3	38	20.0	11.5	0.24	|	28.2	-29.6	3.0	-2.6	-0.0	0.0	-2.9	2.9	-29	28
3200	595.0	0.10	2	47	21.3	12.6	0.26	|	29.0	-30.5	3.3	-2.8	-0.0	0.0	-3.2	3.1	-30	29
3300	644.0	0.09	2	65	22.7	14.1	0.28	|	29.8	-31.3	3.6	-3.1	-0.0	0.0	-3.4	3.3	-30	29
Fim.
