Tabela B 465.0 m/s  Mergulhante
	-400	-300	-200	-100	0	100	200	300	400	500	600	700	800	900	1000	
100		|	|	|	|0	|-78	|-97	|-97	|-23	|-23	|-18	|-74	|-60	|-69	|-14	|
200		|	|	|	|0	|0	|-9	|-5	|-5	|0	|0	|5	|9	|9	|-27	|
300		|	|	|	|0	|0	|0	|0	|4	|4	|13	|13	|18	|22	|27	|
400		|	|	|	|0	|0	|0	|0	|4	|9	|13	|18	|22	|31	|35	|
500		|	|	|	|0	|0	|0	|0	|0	|-4	|17	|22	|30	|34	|43	|
600		|	|	|	|0	|0	|0	|0	|0	|0	|13	|25	|30	|42	|50	|
700		|	|	|	|0	|0	|0	|0	|0	|0	|0	|21	|37	|43	|51	|
800		|	|	|	|0	|0	|0	|0	|0	|21	|26	|34	|26	|49	|57	|
900		|	|	|	|0	|0	|0	|0	|16	|20	|28	|36	|45	|53	|61	|
1000		|	|	|	|0	|3	|5	|12	|17	|24	|29	|37	|47	|57	|65	|
1100		|	|	|	|0	|4	|8	|13	|18	|25	|33	|40	|50	|60	|70	|
1200		|	|	|	|0	|2	|7	|12	|17	|25	|33	|41	|51	|60	|71	|
1300		|	|	|	|0	|3	|7	|13	|19	|26	|34	|43	|53	|63	|74	|
1400		|	|	|	|0	|3	|7	|13	|19	|26	|34	|44	|54	|64	|76	|
1500		|	|	|	|0	|2	|7	|13	|19	|26	|36	|45	|55	|66	|78	|
1600		|	|	|	|0	|4	|9	|16	|22	|30	|38	|48	|59	|70	|81	|
1700		|	|	|	|0	|3	|8	|14	|21	|29	|38	|48	|59	|70	|83	|
1800		|	|	|	|0	|5	|8	|15	|23	|31	|40	|50	|61	|72	|85	|
1900		|	|	|	|0	|5	|10	|17	|24	|32	|41	|52	|63	|74	|87	|
2000		|	|	|-3	|0	|5	|10	|17	|25	|33	|42	|53	|64	|76	|89	|
2100		|	|	|-3	|0	|4	|10	|17	|25	|33	|43	|53	|64	|76	|89	|
2200		|	|	|-3	|0	|6	|11	|18	|26	|34	|44	|54	|66	|78	|91	|
2300		|	|	|-3	|0	|6	|11	|19	|27	|35	|45	|56	|67	|79	|92	|
2400		|	|	|-3	|0	|6	|13	|19	|28	|36	|46	|57	|68	|80	|93	|
2500		|	|	|-4	|0	|5	|11	|18	|27	|36	|46	|56	|68	|80	|93	|
2600		|	|-7	|-3	|0	|6	|13	|20	|28	|37	|47	|58	|69	|81	|96	|
2700		|	|-8	|-4	|0	|6	|13	|20	|28	|38	|47	|57	|69	|81	|94	|
2800		|	|-8	|-3	|0	|6	|14	|21	|29	|38	|48	|59	|71	|84	|97	|
2900		|	|-8	|-4	|0	|6	|13	|21	|29	|39	|49	|60	|71	|84	|97	|
3000		|	|-9	|-5	|0	|6	|13	|21	|29	|39	|49	|60	|72	|84	|98	|
3100		|-12	|-9	|-5	|0	|6	|13	|21	|Quase	|39	|50	|60	|73	|85	|99	|
3200		|-13	|-9	|-5	|0	|7	|14	|22	|31	|40	|51	|62	|73	|86	|99	|
3300		|-14	|-9	|-5	|0	|7	|14	|22	|31	|40	|51	|62	|74	|87	|100	|
3400		|-14	|-10	|-5	|0	|6	|14	|22	|31	|41	|51	|63	|75	|87	|101	|
3500	Quase	|-15	|-10	|-5	|0	|7	|14	|22	|32	|42	|52	|63	|76	|88	|102	|
3600	-19	|-15	|-11	|-5	|0	|7	|15	|23	|32	|42	|47	|64	|76	|89	|103	|
3700	-19	|-15	|-11	|-5	|0	|7	|15	|23	|33	|43	|54	|65	|77	|91	|104	|
3800	-20	|-16	|-11	|-6	|0	|7	|15	|24	|33	|43	|54	|65	|78	|91	|105	|
3900	-20	|-16	|-12	|-6	|0	|7	|15	|24	|34	|44	|55	|67	|79	|92	|106	|
4000	-21	|-17	|-12	|-6	|0	|8	|16	|25	|34	|45	|56	|68	|80	|93	|108	|
4100	-22	|-17	|-12	|-6	|0	|8	|16	|25	|34	|45	|56	|69	|81	|94	|109	|
4200	-23	|-18	|-13	|-6	|0	|8	|16	|25	|35	|46	|58	|70	|83	|94	|110	|
4300	-24	|-18	|-13	|-6	|0	|8	|17	|26	|36	|47	|58	|71	|84	|98	|112	|
4400	-25	|-19	|-13	|-6	|0	|8	|17	|27	|36	|48	|59	|72	|85	|99	|Quase	|
4500	-25	|-20	|-14	|-7	|0	|8	|17	|27	|37	|49	|61	|73	|86	|101	|116	|
4600	-26	|-21	|-14	|-7	|0	|8	|18	|28	|38	|50	|62	|75	|88	|102	|118	|
4700	-27	|-21	|-15	|-7	|0	|8	|18	|28	|39	|50	|63	|76	|89	|104	|120	|
4800	-28	|-22	|-15	|-7	|0	|9	|19	|29	|40	|52	|64	|77	|92	|106	|122	|
4900	-29	|-23	|-15	|-8	|0	|9	|19	|29	|41	|53	|66	|79	|93	|108	|124	|
5000	-30	|-23	|-16	|-8	|0	|9	|19	|30	|41	|54	|67	|81	|95	|110	|126	|
5100	-31	|-24	|-16	|-8	|0	|10	|20	|31	|42	|55	|68	|82	|97	|113	|129	|
5200	-32	|-25	|-17	|-9	|0	|10	|20	|32	|44	|56	|70	|84	|99	|115	|131	|
5300	-33	|-25	|-18	|-9	|0	|10	|21	|32	|45	|57	|72	|86	|102	|118	|135	|
5400	-34	|-26	|-18	|-9	|0	|10	|21	|33	|46	|59	|73	|88	|104	|120	|137	|
5500	-35	|-27	|-19	|-9	|0	|11	|22	|34	|47	|60	|75	|90	|106	|123	|140	|
