Tabela B 195.0 m/s  Mergulhante
	-400	-300	-200	-100	0	100	200	300	400	500	600	700	800	900	1000	
100		|	|	|	|0	|	|	|	|	|	|	|	|	|	|	|
200		|	|	|	|0	|0	|	|	|	|	|	|	|	|	|	|
300		|	|	|	|0	|0	|0	|	|	|	|	|	|	|	|	|
400		|	|	|	|0	|6	|11	|19	|	|	|	|	|	|	|	|
500		|	|	|	|0	|7	|14	|22	|32	|	|	|	|	|	|	|
600		|	|	|	|0	|8	|17	|27	|37	|49	|	|	|	|	|	|
700		|	|	|	|0	|10	|20	|31	|45	|57	|	|	|	|	|	|
800		|	|	|	|0	|11	|22	|35	|49	|66	|80	|	|	|	|	|
900		|	|	|-11	|0	|Quasi	|26	|40	|56	|73	|92	|	|	|	|	|
1000		|	|	|-13	|0	|14	|28	|45	|62	|81	|102	|125	|	|	|	|
1100		|	|	|-14	|0	|15	|31	|49	|69	|90	|113	|138	|	|	|	|
1200		|	|	|-16	|0	|16	|Quasi	|54	|75	|98	|123	|151	|181	|	|	|
1300		|	|-31	|-17	|0	|18	|38	|59	|82	|107	|134	|165	|199	|	|	|
1400		|	|-34	|-18	|0	|20	|41	|64	|89	|116	|146	|179	|216	|257	|	|
1500		|-54	|-37	|-18	|0	|22	|45	|70	|Quasi	|126	|159	|195	|235	|Tr3	|Tr3	|
1600		|-59	|-41	|-21	|0	|23	|48	|74	|103	|128	|170	|209	|252	|Tr3	|Tr3	|
1700	Quasi	|-63	|-44	|-23	|0	|25	|51	|80	|111	|145	|Conv	|225	|273	|Tr3	|Tr3	|
1800	-87	|-68	|-47	|-24	|0	|26	|55	|85	|119	|156	|197	|242	|Quasi	|354	|Tr3	|
1900	-93	|-72	|-50	|-26	|0	|28	|58	|91	|127	|167	|211	|260	|Tr3	|382	|463	|
2000	-99	|-77	|-53	|-27	|0	|30	|62	|97	|136	|178	|226	|280	|342	|415	|507	|
2100	-105	|-82	|-56	|-29	|0	|32	|66	|104	|145	|191	|242	|300	|369	|452	|560	|
2200	-112	|-87	|-60	|-30	|0	|33	|70	|110	|155	|204	|260	|324	|401	|496	|629	|
2300	-118	|-92	|-64	|-33	|0	|35	|75	|118	|165	|218	|279	|350	|437	|552	|755	|
2400	-125	|-98	|-67	|-35	|0	|38	|80	|126	|176	|234	|301	|381	|483	|637	|Conv	
2500	-133	|-103	|-71	|-37	|0	|40	|85	|134	|189	|252	|326	|418	|548	|Conv	Conv	
2600	-139	|-108	|-76	|-39	|0	|43	|91	|143	|203	|273	|357	|470	|Conv	Conv	Conv	
2700	-147	|-115	|-79	|-42	|0	|45	|96	|153	|218	|298	|397	|566	|Conv	Conv	Conv	
2800	-156	|-121	|-84	|-45	|0	|49	|103	|165	|238	|330	|466	|Conv	Conv	Conv	Tr	|
2900	-164	|-128	|-89	|-47	|0	|53	|112	|180	|264	|382	|Conv	Conv	Conv	Conv		|
3000	-174	|-136	|-95	|-50	|0	|56	|121	|197	|302	|Conv	Conv	Conv	Conv		|	|
3100	-184	|-144	|-101	|-53	|0	|61	|132	|226	|Tr3	|Conv	Conv	Conv	Tr	|	|	|
3200	-195	|-153	|-107	|-57	|0	|67	|152	|Tr3	|Tr3	|Conv	Conv	Tr	|	|	|	|
3300	-207	|-163	|-115	|-61	|0	|77	|Tr3	|Tr3	|Tr3	|Conv		|	|	|	|	|
FIM


