Tabela B 195.0 m/s  Mergulhante
	-400	-300	-200	-100	0	100	200	300	400	500	600	700	800	900	1000	
100		|	|	|	|0	|	|	|	|	|	|	|	|	|	|	|
200		|	|	|	|0	|0	|	|	|	|	|	|	|	|	|	|
300		|	|	|	|0	|0	|0	|	|	|	|	|	|	|	|	|
400		|	|	|	|0	|6	|11	|19	|	|	|	|	|	|	|	|
500		|	|	|	|0	|7	|14	|23	|32	|	|	|	|	|	|	|
600		|	|	|	|0	|8	|17	|26	|37	|49	|	|	|	|	|	|
700		|	|	|	|0	|9	|20	|31	|44	|57	|	|	|	|	|	|
800		|	|	|	|0	|11	|22	|35	|50	|64	|80	|	|	|	|	|
900		|	|	|-11	|0	|Quasi	|26	|40	|56	|73	|92	|		|	|	|
1000		|	|	|-13	|0	|14	|28	|45	|62	|81	|102	|125	|	|	|	|
1100		|	|	|-14	|0	|15	|31	|49	|69	|90	|113	|138	|		|	|
1200		|	|	|-15	|0	|16	|Quasi	|54	|75	|98	|123	|151	|181	|	|	|
1300		|	|-31	|-17	|0	|18	|38	|59	|82	|107	|134	|165	|199	|		|
1400		|	|-35	|-18	|0	|20	|41	|65	|89	|117	|147	|179	|216	|		|
1500		|-55	|-38	|-20	|0	|21	|44	|69	|Quasi	|125	|158	|194	|234	|279	|331	|
1600		|-59	|-41	|-21	|0	|23	|48	|74	|103	|131	|170	|209	|252	|tr4	|360	|
1700	Quasi	|-63	|-44	|-23	|0	|25	|51	|80	|111	|145	|Quasi	|225	|273	|tr4	|tr4	|
1800	-87	|-68	|-47	|-25	|0	|26	|54	|85	|118	|156	|197	|242	|294	|354	|tr4	|
1900	-93	|-72	|-50	|-26	|0	|28	|58	|91	|127	|167	|211	|260	|317	|383	|463	|
2000	-99	|-77	|-53	|-27	|0	|30	|62	|97	|136	|178	|226	|280	|342	|415	|507	|
2100	-105	|-82	|-57	|-29	|0	|31	|66	|104	|145	|191	|242	|301	|369	|452	|559	|
2200	-112	|-88	|-61	|-32	|0	|32	|70	|110	|154	|203	|259	|323	|400	|495	|629	|
2300	-118	|-92	|-64	|-33	|0	|36	|75	|118	|165	|218	|279	|351	|437	|552	|756	|
2400	-126	|-98	|-68	|-35	|0	|38	|79	|125	|176	|234	|301	|381	|483	|636	|	
2500	-133	|-104	|-72	|-37	|0	|40	|85	|134	|188	|252	|326	|418	|547	|		
2600	-139	|-108	|-76	|-39	|0	|43	|91	|143	|203	|273	|357	|470	|Quasi			
2700	-147	|-114	|-79	|-41	|0	|45	|97	|154	|219	|298	|398	|567	|			
2800	-155	|-121	|-84	|-44	|0	|48	|103	|165	|239	|330	|466	|				
2900	-164	|-128	|-89	|-47	|0	|53	|112	|180	|264	|382	|					|
3000	-174	|-136	|-95	|-50	|0	|56	|120	|197	|302	|					|	|
3100	-184	|-144	|-101	|-53	|0	|61	|132	|226	|tr4	|tr4	|				|	|
3200	-195	|-154	|-108	|-57	|0	|67	|151	|tr4	|tr4	|				|	|	|
3300	-208	|-164	|-116	|-62	|0	|76	|tr4	|tr4	|tr4	|tr4	|	|	|	|	|	|
FIM


